author,max_additions,max_additions_time,max_additions_pr_link,max_deletions,max_deletions_time,max_deletions_pr_link,fastest_merge_time,fastest_merge_pr_link,latest_night_submission_time,latest_night_submission_link
sneaxiy,886,2024-02-03 00:37:45,https://github.com/PaddlePaddle/Paddle/pull/61508,22,2024-04-09 20:36:15,https://github.com/PaddlePaddle/PaddleNLP/pull/8241,0 days 00:00:17,https://github.com/PaddlePaddle/PaddleNLP/pull/8742,2024-03-19 00:05:36,https://github.com/PaddlePaddle/PaddleNLP/pull/8141
sunnychenxiwang,139,2024-11-29 17:07:33,https://github.com/PaddlePaddle/PaddleMIX/pull/847,3,2024-11-29 17:07:33,https://github.com/PaddlePaddle/PaddleMIX/pull/847,2 days 22:09:56,https://github.com/PaddlePaddle/PaddleMIX/pull/847,,
sunnyghost2016,0,,,0,,,0,0,,
sunzhongkai588,51,2024-09-15 23:00:31,https://github.com/PaddlePaddle/docs/pull/6871,105,2024-09-15 23:00:31,https://github.com/PaddlePaddle/docs/pull/6871,0 days 00:14:10,https://github.com/PaddlePaddle/docs/pull/6873,,
swagger-coder,11386,2024-12-04 22:09:42,https://github.com/PaddlePaddle/PaddleMIX/pull/860,122,2024-12-19 17:01:07,https://github.com/PaddlePaddle/PaddleMIX/pull/896,0 days 16:58:37,https://github.com/PaddlePaddle/PaddleMIX/pull/896,,
swgu98,55,2024-12-31 16:52:26,https://github.com/PaddlePaddle/Paddle/pull/70579,20,2024-12-30 21:21:39,https://github.com/PaddlePaddle/Paddle/pull/70564,0 days 04:51:54,https://github.com/PaddlePaddle/Paddle/pull/70579,,
tackhwa,1,2024-05-11 20:04:44,https://github.com/PaddlePaddle/PaddleOCR/pull/12100,1,2024-05-11 20:04:44,https://github.com/PaddlePaddle/PaddleOCR/pull/12100,0 days 00:33:07,https://github.com/PaddlePaddle/PaddleOCR/pull/12100,,
taeefnajib,477,2024-07-13 05:17:25,https://github.com/PaddlePaddle/PaddleOCR/pull/13373,0,2024-07-13 05:17:25,https://github.com/PaddlePaddle/PaddleOCR/pull/13373,0 days 03:13:21,https://github.com/PaddlePaddle/PaddleOCR/pull/13373,2024-07-13 05:17:25,https://github.com/PaddlePaddle/PaddleOCR/pull/13373
tc20042008,1284467,2024-07-15 15:58:07,https://github.com/PaddlePaddle/PaddleTest/pull/2884,1442314,2024-07-16 17:21:55,https://github.com/PaddlePaddle/PaddleTest/pull/2886,0 days 00:01:42,https://github.com/PaddlePaddle/Athena/pull/9,,
thomasbergersen,0,,,0,,,0,0,2024-04-04 01:31:13,https://github.com/PaddlePaddle/PaddleOCR/pull/11871
tianhaodongbd,62,2024-10-10 12:24:58,https://github.com/PaddlePaddle/PaddleAPEX/pull/33,12,2024-10-10 12:24:58,https://github.com/PaddlePaddle/PaddleAPEX/pull/33,0 days 00:08:01,https://github.com/PaddlePaddle/PaddleAPEX/pull/28,,
tianlef,308,2024-07-02 19:12:40,https://github.com/PaddlePaddle/PaddleTest/pull/2858,61,2024-07-10 21:03:22,https://github.com/PaddlePaddle/PaddleTest/pull/2871,0 days 00:02:45,https://github.com/PaddlePaddle/PaddleTest/pull/2875,,
tianshuo78520a,368,2024-09-14 16:40:52,https://github.com/PaddlePaddle/docs/pull/6867,426,2024-09-14 16:40:52,https://github.com/PaddlePaddle/docs/pull/6867,0 days 00:05:59,https://github.com/PaddlePaddle/docs/pull/6949,,
tianyuzhou668,0,,,0,,,0,0,,
timfengzi,0,,,0,,,0,0,,
tink2123,165,2024-03-07 15:39:51,https://github.com/PaddlePaddle/PaddleOCR/pull/11692,133,2024-03-07 15:39:51,https://github.com/PaddlePaddle/PaddleOCR/pull/11692,0 days 00:00:12,https://github.com/PaddlePaddle/PaddleOCR/pull/11533,,
tlxd,66,2024-09-05 14:06:23,https://github.com/PaddlePaddle/Paddle/pull/68022,8,2024-07-18 18:27:28,https://github.com/PaddlePaddle/Paddle/pull/66222,3 days 14:54:57,https://github.com/PaddlePaddle/Paddle/pull/66226,,
tpenaranda,0,,,0,,,0,0,,
uanu2002,50,2024-07-18 15:20:35,https://github.com/PaddlePaddle/Paddle/pull/66194,10,2024-07-18 18:22:18,https://github.com/PaddlePaddle/Paddle/pull/66221,3 days 17:52:14,https://github.com/PaddlePaddle/Paddle/pull/66221,,
umarbutler,0,,,0,,,0,0,,
umiswing,794,2024-06-05 11:31:19,https://github.com/PaddlePaddle/flash-attention/pull/43,81,2024-12-13 17:18:13,https://github.com/PaddlePaddle/flux/pull/1,0 days 00:00:57,https://github.com/PaddlePaddle/flash-attention/pull/48,,
undefined-ux,4,2024-08-28 21:21:54,https://github.com/PaddlePaddle/PaddleSpeech/pull/3837,2,2024-08-28 21:21:54,https://github.com/PaddlePaddle/PaddleSpeech/pull/3837,69 days 13:02:35,https://github.com/PaddlePaddle/PaddleSpeech/pull/3837,,
user123-source,0,,,0,,,0,0,,
vivienfanghuagood,73,2024-10-22 23:38:49,https://github.com/PaddlePaddle/Paddle/pull/68887,43,2024-10-22 23:38:49,https://github.com/PaddlePaddle/Paddle/pull/68887,0 days 05:24:08,https://github.com/PaddlePaddle/Paddle/pull/69819,,
w5688414,491,2024-04-22 21:15:30,https://github.com/PaddlePaddle/PaddleNLP/pull/8308,52,2024-04-23 11:59:24,https://github.com/PaddlePaddle/PaddleNLP/pull/8310,0 days 01:48:12,https://github.com/PaddlePaddle/PaddleNLP/pull/8266,,
waliwali777,253,2024-09-04 15:22:46,https://github.com/PaddlePaddle/Paddle/pull/67996,47,2024-10-28 15:45:53,https://github.com/PaddlePaddle/PaddleNLP/pull/9324,2 days 01:43:28,https://github.com/PaddlePaddle/PaddleNLP/pull/9355,,
walkalone20,83,2024-04-22 20:42:20,https://github.com/PaddlePaddle/Paddle/pull/63752,134,2024-04-22 20:42:20,https://github.com/PaddlePaddle/Paddle/pull/63752,29 days 18:52:10,https://github.com/PaddlePaddle/Paddle/pull/63752,,
wanghuancoder,6849,2024-04-11 17:06:50,https://github.com/PaddlePaddle/PaddleSeg/pull/3699,6851,2024-04-11 17:06:50,https://github.com/PaddlePaddle/PaddleSeg/pull/3699,0 days 00:01:32,https://github.com/PaddlePaddle/PaddleTest/pull/2950,,
wangjipeng1217,0,,,0,,,0,0,,
wangna11BD,291,2024-11-06 18:04:54,https://github.com/PaddlePaddle/Paddle3D/pull/476,82,2024-04-12 10:55:02,https://github.com/PaddlePaddle/PaddleCustomDevice/pull/1136,0 days 00:02:06,https://github.com/PaddlePaddle/PaddleDetection/pull/9046,,
wangtianxia-sjtu,1,2024-08-31 01:26:08,https://github.com/PaddlePaddle/docs/pull/6853,1,2024-08-31 01:26:08,https://github.com/PaddlePaddle/docs/pull/6853,4 days 13:50:09,https://github.com/PaddlePaddle/docs/pull/6853,2024-08-31 01:26:08,https://github.com/PaddlePaddle/docs/pull/6853
